Year,Name,Rank,Gender
1990,Stacie,420,F
1990,Jamar,421,M
1990,Elisa,421,F
1990,Charlie,422,M
1990,Kylee,422,F
1990,Alfonso,423,M
1990,Mindy,423,F
1990,Donte,424,M
1990,Tiana,424,F
1990,Carlton,425,M
1990,Esmeralda,425,F
1990,Corbin,426,M
1990,Dorothy,426,F
1990,Felipe,427,M
1990,Juliana,427,F
1990,Myles,428,M
1990,Kyla,428,F
1990,Shannon,429,M
1990,Diamond,429,F
1990,Bernard,430,M
1990,Shanna,430,F
1990,Gilberto,431,M
1990,Nora,431,F
1990,Kenny,432,M
1990,Marilyn,432,F
1990,Isiah,433,M
1990,Kierra,433,F
1990,Zane,434,M
1990,Infant,434,F
1990,Jarvis,435,M
1990,Kaila,435,F
1990,Korey,436,M
1990,Christie,436,F
1990,Ty,437,M
1990,Josephine,437,F
1990,Emilio,438,M
1990,Kerri,438,F
1990,Rogelio,439,M
1990,Staci,439,F
1990,Daryl,440,M
1990,Bridgette,440,F
1990,Sheldon,441,M
1990,Alaina,441,F
1990,Demarcus,442,M
1990,Stephany,442,F
1990,Leroy,443,M
1990,Ciera,443,F
1990,Clay,444,M
1990,Julianne,444,F
1990,Denzel,445,M
1990,Kali,445,F
1990,Dwight,446,M
1990,Jalisa,446,F
1990,Coty,447,M
1990,Kerry,447,F
1990,Chaz,448,M
1990,Vivian,448,F
1990,Chris,449,M
1990,Sally,449,F
1990,Tyrell,450,M
1990,Tammy,450,F
1990,Brendon,451,M
1990,Lucy,451,F
1990,Terence,452,M
1990,Precious,452,F
1990,Owen,453,M
1990,Debra,453,F
1990,Deangelo,454,M
1990,Judith,454,F
1990,Perry,455,M
1990,Sadie,455,F
1990,Carson,456,M
1990,Tiffani,456,F
1990,Kasey,457,M
1990,Kirstie,457,F
1990,Marlon,458,M
1990,Charity,458,F
1990,Conor,459,M
1990,Margarita,459,F
1990,Neal,460,M
1990,Alisa,460,F
1990,Heath,461,M
1990,Krystle,461,F
1990,Kameron,462,M
1990,Mollie,462,F
1990,Sterling,463,M
1990,Noelle,463,F
1990,Glen,464,M
1990,Eileen,464,F
1990,Raphael,465,M
1990,Francesca,465,F
1990,Skylar,466,M
1990,Tori,466,F
1990,Moises,467,M
1990,Mandy,467,F
1990,Fredrick,468,M
1990,Cassidy,468,F
1990,Brenton,469,M
1990,Leigh,469,F
1990,Norman,470,M
1990,Sheena,470,F
1990,Gordon,471,M
1990,Patrice,471,F
1990,Nikolas,472,M
1990,Beatriz,472,F
1990,Clifton,473,M
1990,Jodi,473,F
1990,Ali,474,M
1990,Alanna,474,F
1990,Tucker,475,M
1990,Traci,475,F
1990,Alonzo,476,M
1990,Ashlie,476,F
1990,Leo,477,M
1990,Janice,477,F
1990,Ramiro,478,M
1990,Natalia,478,F
1990,Davon,479,M
1990,Joyce,479,F
1990,Wilson,480,M
1990,Jordyn,480,F
1990,Deshawn,481,M
1990,Desirae,481,F
1990,Ariel,482,M
1990,Abbey,482,F
1990,Kerry,483,M
1990,Connie,483,F
1990,Shayne,484,M
1990,Darlene,484,F
1990,Braden,485,M
1990,Genevieve,485,F
1990,Chandler,486,M
1990,Maritza,486,F
1990,Cornelius,487,M
1990,Blair,487,F
1990,Kent,488,M
1990,India,488,F
1990,Vernon,489,M
1990,Tania,489,F
1990,Lloyd,490,M
1990,Mckenzie,490,F
1990,Tomas,491,M
1990,Britany,491,F
1990,Avery,492,M
1990,Tracey,492,F
1990,Devan,493,M
1990,Latisha,493,F
1990,Frankie,494,M
1990,Norma,494,F
1990,Pierre,495,M
1990,Kelsi,495,F
1990,Jaron,496,M
1990,Tricia,496,F
1990,Rolando,497,M
1990,Maureen,497,F
1990,Fred,498,M
1990,Breanne,498,F
1990,Jayson,499,M
1990,Shantel,499,F
1990,Keegan,500,M
1990,Daniella,500,F
1990,Markus,501,M
1990,Angelia,501,F
1990,Quincy,502,M
1990,Janae,502,F
1990,Rickey,503,M
1990,Kathy,503,F
1990,Quintin,504,M
1990,Zoe,504,F
1990,Roland,505,M
1990,Serena,505,F
1990,Garret,506,M
1990,Constance,506,F
1990,Mike,507,M
1990,Jaimie,507,F
1990,Lonnie,508,M
1990,Mariana,508,F
1990,Darrin,509,M
1990,Rosemary,509,F
1990,Rick,510,M
1990,Shirley,510,F
1990,Rodrigo,511,M
1990,Nicolette,511,F
1990,Humberto,512,M
1990,Sonya,512,F
1990,Rory,513,M
1990,Annette,513,F
1990,Ben,514,M
1990,Katy,514,F
1990,Sidney,515,M
1990,Loren,515,F
1990,Tracy,516,M
1990,Lea,516,F
1990,Quinn,517,M
1990,Kacie,517,F
1990,Brenden,518,M
1990,Cristal,518,F
1990,Jamel,519,M
1990,Jami,519,F
1990,Dorian,520,M
1990,Kristyn,520,F
1990,Duane,521,M
1990,Beverly,521,F
1990,Jean,522,M
1990,Clara,522,F
1990,Nathanael,523,M
1990,Jackie,523,F
1990,Mackenzie,524,M
1990,Alycia,524,F
1990,Shelby,525,M
1990,Ryan,525,F
1990,Dion,526,M
1990,Elyse,526,F
1990,Gerard,527,M
1990,Kira,527,F
1990,Lukas,528,M
1990,Lena,528,F
1990,Brice,529,M
1990,Juanita,529,F
1990,Darin,530,M
1990,Gladys,530,F
1990,Herbert,531,M
1990,Kaleigh,531,F
1990,Dana,532,M
1990,Laurel,532,F
1990,Cortez,533,M
1990,Isamar,533,F
1990,Antwan,534,M
1990,Leanne,534,F
1990,Javon,535,M
1990,Ashly,535,F
1990,Reynaldo,536,M
1990,Justina,536,F
1990,Clark,537,M
1990,Tyler,537,F
1990,Drake,538,M
1990,Lara,538,F
1990,Efrain,539,M
1990,Lesley,539,F
1990,Kadeem,540,M
1990,Mara,540,F
1990,Noe,541,M
1990,Jacklyn,541,F
1990,Freddy,542,M
1990,Paris,542,F
1990,Kristofer,543,M
1990,Kala,543,F
1990,Reid,544,M
1990,Carina,544,F
1990,Donnie,545,M
1990,Jana,545,F
1990,Tylor,546,M
1990,Breana,546,F
1990,Mauricio,547,M
1990,Rita,547,F
1990,Adan,548,M
1990,Rocio,548,F
1990,Deon,549,M
1990,Whitley,549,F
1990,Bryson,550,M
1990,Cayla,550,F
1990,Carter,551,M
1990,Brandie,551,F
1990,Jace,552,M
1990,Chantal,552,F
1990,Don,553,M
1990,Brittanie,553,F
1990,Jimmie,554,M
1990,Terri,554,F
1990,Marquise,555,M
1990,Susana,555,F
1990,Everett,556,M
1990,Araceli,556,F
1990,Malik,557,M
1990,Alexia,557,F
1990,Lane,558,M
1990,Eliza,558,F
1990,Arnold,559,M
1990,Ashlyn,559,F
1990,Marcel,560,M
1990,Edith,560,F
1990,Johnnie,561,M
1990,Joanne,561,F
1990,Ahmad,562,M
1990,Jena,562,F
1990,Santiago,563,M
1990,Skylar,563,F
1990,Tyree,564,M
1990,Kirstin,564,F
1990,Guy,565,M
1990,Shelly,565,F
1990,Milton,566,M
1990,Kiera,566,F
1990,Salvatore,567,M
1990,Katelin,567,F
1990,Jerrod,568,M
1990,Aisha,568,F
1990,Darrius,569,M
1990,Sade,569,F
1990,Kristian,570,M
1990,Kyra,570,F
1990,Lamont,571,M
1990,Paulina,571,F
1990,Mitchel,572,M
1990,Tamika,572,F
1990,Nigel,573,M
1990,Tess,573,F
1990,Freddie,574,M
1990,Cecily,574,F
1990,Kareem,575,M
1990,Judy,575,F
1990,Alvaro,576,M
1990,Maegan,576,F
1990,Toby,577,M
1990,Betty,577,F
1990,Jakob,578,M
1990,Madeleine,578,F
1990,Bradford,579,M
1990,Allie,579,F
1990,Blair,580,M
1990,Lynn,580,F
1990,Thaddeus,581,M
1990,Sherry,581,F
1990,Kwame,582,M
1990,Lucia,582,F
1990,Reuben,583,M
1990,Maricela,583,F
1990,Rico,584,M
1990,Jennie,584,F
1990,Leslie,585,M
1990,Lily,585,F
1990,Sammy,586,M
1990,Angie,586,F
1990,Vicente,587,M
1990,Lakeisha,587,F
1990,Moses,588,M
1990,Emilee,588,F
